account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
Realomosexy,0.0581114,413,1,1297134,master only (1),-1.155111758,
robcorddry,0.057971,69,1,1306452,master only (1),-1.495416797,
SleepSkee,0.057971,69,1,783593,master only (1),1.022924619,
neiltyson,0.0578947,190,1,13838871,master only (1),-1.574128683,
MaxLucado,0.0577617,277,1,1376623,master only (1),1.983175141,
AlexWassabi,0.0576923,52,1,1377352,master only (1),-0.504073958,
Aubameyang7,0.0576923,52,1,1376857,master only (1),0.286263717,
cesarmillan,0.0576923,52,1,1058061,master only (1),0.962978019,
EllaHenderson,0.0576923,52,1,1084535,master only (1),-0.723415953,
miakhalifa,0.0576923,208,1,3236967,master only (1),-1.696157159,
BishopJakes,0.0572597,489,1,3933942,master only (1),-2.080978356,
austincarlile,0.0571429,35,1,652360,master only (1),0.18988904,
UzoAduba,0.0571429,70,1,503796,master only (1),-1.694089288,
Shteyngart,0.0571429,175,1,571674,master only (1),-1.681614596,
vipregan,0.0568182,176,1,612636,master only (1),1.571637117,
rclbeauty101,0.0567376,141,1,3523731,master only (1),-2.334769829,
NeilNMukesh,0.0565371,283,1,1622445,master only (1),-0.229705531,
Actor_Krishna,0.0564516,248,1,546353,master only (1),0.156022878,
MinnieDlamini,0.0564103,195,1,3679038,master only (1),-0.813810146,
TheVikasKhanna,0.0562963,1350,1,2309446,master only (1),-0.596920777,
andrewrobertso5,0.0561798,89,1,1230940,master only (1),0,
guster,0.0561798,89,1,541443,master only (1),0.070472576,
noahcent,0.0561798,89,1,1586879,master only (1),-1.055326925,
DaRealAmberRose,0.0555556,18,1,4035994,master only (1),-1.329331117,
Sneaky,0.0555556,18,1,795053,master only (1),-0.016376297,
tydollasign,0.0555556,18,1,1562518,master only (1),-0.318563081,
D_Copperfield,0.0555556,36,1,1057903,master only (1),-0.322257522,
giseleofficial,0.0555556,36,1,4739824,master only (1),-0.546355205,
JamesBennewith,0.0555556,54,1,785497,master only (1),0.005141859,
NickSwardson,0.0555556,54,1,640913,master only (1),-0.693440986,
skatemaloley,0.0555556,72,1,614032,master only (1),-0.508860245,
CrissWaddle,0.0555556,144,1,913675,master only (1),1.553657967,
pattiemallette,0.0552147,163,1,3308324,master only (1),1.227529054,
JoeMantegna,0.0551181,127,1,612210,master only (1),1.306054104,
AbbyWambach,0.0550459,109,1,753225,master only (1),-1.223143991,
Romi_Rain,0.0549915,1182,1,780863,master only (1),-0.444422414,
Madison420Ivy,0.0549451,91,1,582846,master only (1),-1.201494773,
nathanielblow,0.0549451,182,1,790898,master only (1),1.237609159,
Jack_Maynard23,0.0547945,146,1,797030,master only (1),0.108091973,
hodgman,0.0546177,1007,1,1084426,master only (1),-1.592544985,
selvaraghavan,0.0545455,55,1,2284019,master only (1),0.657806938,
MarlonWayans,0.0544554,202,1,2048980,master only (1),-0.666039302,
TechnicalGuruji,0.0544413,349,1,2409091,master only (1),0,
TheVishnuVishal,0.0542797,479,1,1557791,master only (1),0.884036186,
emmyrossum,0.0541667,240,1,872374,master only (1),-0.596953172,
BernardoCSilva,0.0540541,37,1,772682,master only (1),1.405810463,
MisterCBooz,0.0540541,74,1,1193194,master only (1),-1.114862564,
SeanLowe09,0.0540541,74,1,999093,master only (1),1.410772352,
NickyHilton,0.0540541,148,1,717041,master only (1),0.552925884,
LilianGarcia,0.0540541,222,1,671776,master only (1),-0.450329731,
Lord_Sugar,0.0539637,2094,1,5346323,master only (1),0.952743426,
IyanlaVanzant,0.0536193,746,1,1998633,master only (1),-1.473184641,
iamErica_Mena,0.0535714,168,1,705366,master only (1),-0.896505781,
zachclayton,0.0534351,131,1,1194513,master only (1),0,
HarveyLevinTMZ,0.0532544,169,1,636178,master only (1),0.146492878,
Labrinth,0.0531915,94,1,982597,master only (1),-0.829355563,
frankieboyle,0.0531178,433,1,2787015,master only (1),-1.524353724,
Abella_Danger,0.0531136,546,1,1376353,master only (1),0.75150596,
Jillzarin,0.0529801,151,1,527525,master only (1),1.034346337,
Omarion,0.0529801,151,1,1319600,master only (1),0.897207319,
ADPadiputra,0.0529101,189,1,522178,master only (1),0,
BigSean,0.0526316,19,1,14614255,master only (1),-0.704049363,
Mark_Sanchez,0.0526316,38,1,833216,master only (1),0.921823636,
UrijahFaber,0.0526316,38,1,663123,master only (1),1.024534696,
MelissaGisoni,0.0526316,57,1,605036,master only (1),0.153178185,
Hozier,0.0526316,76,1,876234,master only (1),-0.938878362,
Jessewelle,0.0526316,76,1,1303306,master only (1),0.581137611,
tamannaahspeaks,0.0526316,114,1,4442158,master only (1),-0.282618801,
h3h3productions,0.0526316,152,1,2455664,master only (1),-0.467107766,
wolfiecindy,0.0526316,190,1,615044,master only (1),-0.028396835,
hunterpence,0.0524017,229,1,670043,master only (1),-0.953560577,
DerrenBrown,0.0523256,172,1,2227967,master only (1),-0.854927204,
NateBerkus,0.0522876,153,1,560545,master only (1),-1.38189342,
purijagan,0.0522876,153,1,2727194,master only (1),0.946300256,
L_Tido,0.0522388,134,1,846157,master only (1),1.0848373,
fatjoe,0.0519031,289,1,879228,master only (1),0.073318556,
Janefonda,0.0518519,270,1,836354,master only (1),-1.317726179,
heart021485,0.0518018,444,1,2267755,master only (1),0.341950881,
HunterHayes,0.0515464,97,1,1487486,master only (1),-0.879558509,
greggutfeld,0.0513196,682,1,1495455,master only (1),1.723796064,
6LACK,0.0512821,39,1,871302,master only (1),0,
cheteshwar1,0.0512821,39,1,2350915,master only (1),0.571251244,
halfadams,0.0512821,39,1,553980,master only (1),-0.25279692,
Cyn_Santana,0.0511182,313,1,677921,master only (1),-1.759734275,
TheSteinLine,0.0510753,744,1,1384996,master only (1),0.504271192,
littlebrown,0.0508982,668,1,500153,master only (1),0.425223756,
tito_mboweni,0.0508475,413,1,512917,master only (1),0.408972077,
julieplec,0.0507937,315,1,730323,master only (1),-1.314615004,
flintoff11,0.0506329,79,1,1975138,master only (1),0.969625334,
thomyorke,0.0506329,79,1,1059291,master only (1),-1.108181602,
sam_adeyemi,0.050592,929,1,1026623,master only (1),0.987306112,
chachigonzales,0.050505,99,1,805288,master only (1),0.308263643,
cthagod,0.0504673,535,1,2124262,master only (1),-2.048500927,
lspraggan,0.0503597,139,1,553139,master only (1),-1.47473825,
JaredLeto,0.0502513,199,1,4408311,master only (1),0,
PamGrier,0.0501475,678,1,534948,master only (1),-1.263970828,
boogiecousins,0.05,20,1,1174898,master only (1),-1.536568502,
lilpump,0.05,20,1,1232276,master only (1),0,
stampylongnose,0.05,40,1,673950,master only (1),-1.012112685,
sterling7,0.05,40,1,2084668,master only (1),0.689965882,
Jeremy_Roenick,0.05,60,1,601060,master only (1),1.341932178,
IAMKELLYBROOK,0.05,120,1,958245,master only (1),0.505458918,
jackwhitehall,0.05,140,1,6156570,master only (1),0.330466233,
tsnjamesduthie,0.0498339,301,1,890438,master only (1),-0.460461893,
juliancamarena,0.0497512,201,1,3099881,master only (1),1.036892107,
DrBrianMay,0.0494506,182,1,1038969,master only (1),0.422826924,
crystalhefner,0.0493827,81,1,524999,master only (1),1.036584791,
shaycarl,0.0493827,81,1,693449,master only (1),0.938886702,
MarcJSpearsESPN,0.0492958,1278,1,513119,master only (1),0,
TheNotoriousMMA,0.0492754,345,1,8094382,master only (1),1.027108428,
JohnBishop100,0.0491803,61,1,3576933,master only (1),-0.621035501,
RealKevinNash,0.0491803,61,1,985971,master only (1),0.516613426,
LennoxLewis,0.0491803,122,1,571275,master only (1),-0.809142949,
BrianDEvans,0.0487805,41,1,634351,master only (1),1.202134479,
ElizabethBanks,0.0486322,329,1,2276602,master only (1),-1.420239572,
AnandWrites,0.0484988,433,1,659165,master only (1),0.357483789,
nprscottsimon,0.0483981,1467,1,1079770,master only (1),0.742817064,
1pcornwell,0.0483871,62,1,1244589,master only (1),0.731785706,
IJasonAlexander,0.0482375,539,1,601992,master only (1),-1.197461016,
colinmeloy,0.0481928,166,1,1342535,master only (1),-1.119438,
tailopez,0.0481928,249,1,699870,master only (1),1.420623121,
FINALLEVEL,0.0481651,872,1,1559108,master only (1),-0.901321228,
BrooklynDecker,0.0479452,146,1,691352,master only (1),0.152944348,
fredwilson,0.047619,21,1,663860,master only (1),-0.820657882,
MannyPacquiao,0.047619,21,1,2609353,master only (1),1.328054618,
robbieuthappa,0.047619,21,1,693941,master only (1),-1.049698253,
SinghaniaGautam,0.047619,21,1,2387010,master only (1),0.989685936,
AmazingPhil,0.047619,42,1,7482352,master only (1),-0.941326383,
jonnybernthal,0.047619,42,1,618453,master only (1),-0.258897129,
ZacharyQuinto,0.047619,42,1,1049944,master only (1),0,
NevSchulman,0.047619,84,1,1103204,master only (1),-1.487606321,
OliverPhelps,0.047619,84,1,935067,master only (1),0.497589731,
AmandaHolden,0.047619,126,1,1981674,master only (1),0.162809979,
DK4L,0.047619,147,1,697796,master only (1),0,
michaelstrahan,0.047619,189,1,1348987,master only (1),0.088417263,
findevan,0.047619,252,1,561950,master only (1),0.74515006,
benshephard,0.0473373,169,1,744126,master only (1),-1.312722942,
ConanOBrien,0.0472973,148,1,28625536,matched (3),0,
MarkRPellegrino,0.0472103,932,1,531863,master only (1),1.508070735,
SamPinto_,0.0470588,85,1,1385305,master only (1),-0.42781798,
TheVampsJames,0.046875,128,1,1726923,master only (1),-0.446163789,
DanniiMinogue,0.046729,107,1,1129391,master only (1),-1.184585649,
Tip,0.0463576,151,1,8954163,master only (1),-0.543543935,
brielarson,0.0461538,65,1,1990617,master only (1),-2.12259655,
SuelynMedeiros,0.0461538,130,1,707746,master only (1),1.486125827,
sarajcox,0.0459941,674,1,839043,master only (1),-0.884032379,
jimmy9,0.045977,87,1,1037094,master only (1),-1.588298593,
LilJon,0.0459184,392,1,935633,master only (1),0.045595189,
levarburton,0.0458716,218,1,1934512,master only (1),-1.286732405,
Kathbum,0.0458221,371,1,656352,master only (1),-1.083046983,
brookeburke,0.0456621,219,1,2971822,master only (1),0.501494251,
madisonpettis,0.0454545,22,1,1468879,master only (1),-2.031693599,
ericstonestreet,0.0454545,66,1,857504,master only (1),-0.579839949,
shahidkapoor,0.0454545,88,1,14753783,master only (1),0.455528795,
kevinbacon,0.0454545,220,1,668170,master only (1),-1.300103731,
AdamSchefter,0.0453698,1609,1,7894081,master only (1),0.529757851,
realshoaibmalik,0.0452489,221,1,2482868,master only (1),0,
Donald_Driver80,0.0451128,266,1,781319,master only (1),1.095204953,
beamiller,0.045045,111,1,792329,master only (1),-2.359490465,
sween,0.0449438,89,1,1008399,master only (1),0.181180546,
mrbobodenkirk,0.0449438,267,1,581397,master only (1),-0.735153685,
patrickstarrr,0.044898,245,1,589531,master only (1),-0.324183185,
machinegunkelly,0.0447761,201,1,1346116,master only (1),0.149832265,
MsRebeccaBlack,0.0447761,201,1,1205963,master only (1),-1.051500537,
NikkiDelano,0.0447059,425,1,1383879,master only (1),0,
MatthewSantoro,0.0446429,224,1,526641,master only (1),0.334113881,
LouisePentland,0.044586,314,1,2123024,master only (1),-0.538186901,
CalvinHarris,0.0444444,45,1,12532422,master only (1),-0.864046738,
SheriffClarke,0.0442478,113,1,924484,master only (1),2.062726684,
RealBobMortimer,0.0441176,68,1,954696,master only (1),0.990189676,
KaceyMusgraves,0.0441176,204,1,893891,master only (1),0.259125036,
DavidArchie,0.0440252,159,1,1219516,master only (1),0.614413682,
tiesto,0.04375,160,1,5003694,master only (1),-0.126322408,
JohnPiper,0.0437018,389,1,1016089,master only (1),0.749958831,
chrishemsworth,0.0434783,23,1,6732224,master only (1),-0.609018865,
alluarjun,0.0434783,46,1,4154005,master only (1),0,
arzE,0.0434783,46,1,526736,master only (1),-1.51347724,
Eminem,0.0434783,46,1,23030994,matched (3),0,
Nick_Offerman,0.0434783,230,1,1795398,master only (1),-1.677545989,
sutterink,0.0431894,301,1,564293,master only (1),0.611010755,
josbuttler,0.0430108,93,1,555036,master only (1),0.767525374,
tonyhawk,0.0430108,93,1,4268331,master only (1),-1.100368629,
lindseyvonn,0.0429448,163,1,1054926,master only (1),0.782345869,
teganandsara,0.0426829,164,1,574917,master only (1),-1.537430682,
eltonofficial,0.0426229,305,1,897827,master only (1),0,
ProfOsinbajo,0.0425532,47,1,2415129,master only (1),0,
pastorpoju,0.0425532,235,1,695247,master only (1),1.549125009,
MarioSelman,0.042471,259,1,555493,master only (1),0,
AaronFinch5,0.0423729,118,1,1144802,master only (1),-0.692880954,
davidgregory,0.0422535,71,1,1714442,master only (1),0.999330988,
GiGiHadid,0.0422535,71,1,9215693,master only (1),-0.729180441,
DaniellePeazer,0.0421687,166,1,2578965,master only (1),0.309038025,
Leander,0.0421053,95,1,1294158,master only (1),-0.602505968,
davidwalliams,0.0420475,547,1,2324147,master only (1),-0.478792897,
TheSharkDaymond,0.042,500,1,681693,master only (1),-0.115692778,
Chef_Keller,0.041958,143,1,708913,master only (1),0.571042374,
RealSway,0.0417827,359,1,582434,master only (1),0.108740848,
markwahlberg,0.0416667,48,1,3921889,master only (1),0,
hasanminhaj,0.0416667,72,1,676727,master only (1),-1.340012896,
PixieLott,0.0416667,72,1,1522230,master only (1),-0.994967174,
WindhorstESPN,0.0416667,96,1,715669,master only (1),0,
CLewandowski_,0.0416667,192,1,530605,master only (1),1.652615632,
perlmutations,0.0415913,553,1,828622,master only (1),-1.49768206,
DevinNunes,0.0414938,241,1,1018330,master only (1),1.81307685,
mortreport,0.0414747,217,1,2319513,master only (1),1.170012935,
EvaLongoria,0.0413223,121,1,7221707,master only (1),-1.512524493,
JohnStamos,0.0413223,121,1,1718993,master only (1),-0.662901548,
Tyson_Fury,0.0412371,97,1,1475194,master only (1),-0.295998746,
Randy_Couture,0.0410959,73,1,643805,master only (1),0.40860659,
wossy,0.0410959,73,1,5141863,master only (1),-0.466737874,
SpencerOwen,0.0410959,292,1,649360,master only (1),0.301305807,
camilluddington,0.0410256,195,1,647437,master only (1),-1.223795782,
TamiRoman,0.0408922,269,1,988056,master only (1),-1.53951952,
noahcyrus,0.0408163,98,1,630512,master only (1),0.167532276,
DJPROSTYLE,0.0405405,148,1,666614,master only (1),0.567161274,
Aly_Raisman,0.0403587,223,1,1081286,master only (1),-0.931371006,
BJMendelson,0.040275,1018,1,590079,master only (1),-1.571014071,
alicecooper,0.0402685,149,1,834398,master only (1),0,
Limkokwing_MY,0.0402415,497,1,908591,master only (1),0.673057911,
krisaquino214,0.04,25,1,1644202,master only (1),0,
petosagan,0.04,25,1,929053,master only (1),0,
jharrison9292,0.04,50,1,664842,master only (1),1.402674315,
CarolineManzo,0.04,75,1,783750,master only (1),0.926623279,
jpduminy21,0.04,75,1,1404965,master only (1),1.266535667,
simadwasim,0.04,75,1,1821576,master only (1),0,
PapaJonas,0.04,100,1,731037,master only (1),1.61248307,
WarrenSapp,0.04,125,1,1099501,master only (1),-1.634550874,
itsWillyFerrell,0.04,250,1,1457979,master only (1),0.159782934,
CarrieHFletcher,0.04,325,1,516528,master only (1),-0.938093143,
MelanieCmusic,0.0397727,176,1,619631,master only (1),-0.352003278,
SonnyBWilliams,0.0394737,76,1,886924,master only (1),0,
ValtteriBottas,0.0394737,152,1,583278,master only (1),0.335993669,
tobykeith,0.0394089,203,1,1243781,master only (1),1.26901783,
candacecbure,0.0393701,254,1,595930,master only (1),1.409337825,
erikacostell,0.0393258,178,1,976334,master only (1),0,
noobde,0.0392749,331,1,588220,master only (1),0.817801489,
EmeraudeToubia,0.0392157,51,1,558605,master only (1),-1.022109788,
SierraNMcCormic,0.0392157,51,1,725170,master only (1),-1.190984258,
solennheussaff,0.0392157,51,1,4150067,master only (1),0.038197575,
plies,0.0389908,436,1,921786,master only (1),-2.036757523,
krunalpandya24,0.038961,77,1,712299,master only (1),0,
BearGrylls,0.0388889,360,1,1505555,master only (1),0.706625866,
jessetyler,0.0388769,463,1,1217908,master only (1),-1.47456015,
AnnaSaccone,0.038835,103,1,712592,master only (1),-0.929651913,
adam22,0.038817,541,1,779119,master only (1),0.99695105,
MKBHD,0.038674,362,1,3899778,master only (1),-0.684487354,
adamhillscomedy,0.03861,259,1,561442,master only (1),-1.267639802,
djenvy,0.0385757,337,1,819964,master only (1),0.094886889,
RJ_Balaji,0.0384615,78,1,3742812,master only (1),-0.472120171,
NeerajaKona,0.0384615,104,1,724704,master only (1),0.540691397,
BebeRexha,0.0384615,156,1,1581321,master only (1),-0.649345102,
DanceMomHolly,0.0384615,156,1,608626,master only (1),-1.005767319,
imDhoni_fc,0.0381679,131,1,655399,master only (1),0,
LollyDaskal,0.0379575,2213,1,1296011,master only (1),1.210054715,
JackBarakat,0.037931,290,1,1763277,master only (1),-0.246317746,
terrellowens,0.0378151,238,1,1449940,master only (1),0.928020256,
EllenPompeo,0.0377358,106,1,1745149,master only (1),-1.023572045,
thejuliecash,0.0377358,106,1,838979,master only (1),0,
MrsSOsbourne,0.0376344,186,1,2418868,master only (1),-1.555421821,
MeekMill,0.0375276,906,1,9787425,master only (1),-1.00803077,
FriedgeHNIC,0.0374037,909,1,526535,master only (1),0.580540116,
arnelpineda,0.0373134,134,1,1820315,master only (1),0.342932267,
TONTOLET,0.0372807,456,1,1174192,master only (1),-0.033760088,
usainbolt,0.0372671,161,1,4919009,master only (1),0.717896107,
Zak_Bagans,0.0371901,242,1,994614,master only (1),0.824066343,
therealjuicyj,0.0371353,377,1,2731933,master only (1),0.523759881,
Rampage4real,0.037037,27,1,760835,master only (1),0,
McIlroyRory,0.037037,54,1,3204368,master only (1),0.924483713,
ChaseRiceMusic,0.037037,81,1,1103650,master only (1),2.017522784,
eLDeeTheDon,0.037037,108,1,978061,master only (1),0.301433895,
ChieFilomeno,0.0368664,217,1,668025,master only (1),0,
ChantelJeffries,0.0367647,136,1,700967,master only (1),-0.051446287,
hiphoptamizha,0.0366667,300,1,1452046,master only (1),0.187153854,
kevinolearytv,0.0365854,246,1,738919,master only (1),1.109894025,
KyleRichards,0.0365854,328,1,1279191,master only (1),0.477451025,
LupeFiasco,0.0364146,357,1,1268824,master only (1),0.412166264,
MarthaStewart,0.0363636,110,1,3668686,master only (1),0.105585744,
ScottyMcCreery,0.0362319,138,1,958971,master only (1),1.581299031,
Neil38Etheridge,0.036036,111,1,710563,master only (1),0.532708823,
radioleary,0.036036,222,1,2789488,master only (1),-0.867090232,
DavidSpade,0.0358209,335,1,2777520,master only (1),-0.271762062,
RebeccaMinkoff,0.0357143,56,1,915845,master only (1),-0.602256393,
gillinghamjoe,0.0357143,84,1,548954,master only (1),-0.550291266,
michaelirvin88,0.0357143,140,1,653990,master only (1),1.127602894,
CarliLloyd,0.0357143,196,1,928198,master only (1),1.022522709,
AaronGoodwin,0.0355556,1125,1,643975,master only (1),0.016959024,
advani_kiara,0.0353982,113,1,1161236,master only (1),0,
hodakotb,0.0353535,198,1,1269848,master only (1),0.721843947,
StephenMulhern,0.0352941,85,1,655470,master only (1),-0.415253739,
TheCarlosPena,0.0352941,85,1,2668730,master only (1),1.328330599,
jason_mraz,0.0352113,142,1,5656817,master only (1),-1.696465889,
EmmittSmith22,0.0350877,114,1,776828,master only (1),-1.100178305,
MiaMalkova,0.0350877,285,1,878826,master only (1),0.028061828,
diplo,0.0349398,830,1,2624320,master only (1),-0.054633436,
Paluten,0.0348837,86,1,1117858,master only (1),0.627340779,
Usher,0.0348837,86,1,12312292,master only (1),-1.498260579,
lenaisapeach,0.0348837,430,1,563243,master only (1),-1.361151377,
Tim_Cahill,0.0348837,430,1,775914,master only (1),1.006691308,
jennmcallister,0.0346535,202,1,1901231,master only (1),-1.20020718,
cainmma,0.0344828,29,1,923476,master only (1),0,
emilydeschanel,0.0344828,29,1,562279,master only (1),-1.150293321,
mattcutts,0.0344828,29,1,535024,master only (1),0.160744705,
hegdepooja,0.0344828,87,1,2304243,master only (1),-0.069620606,
BQQuinn,0.0344828,609,1,1032993,master only (1),0.356089933,
conangray,0.034384,349,1,763660,master only (1),-0.410042269,
DonOrsillo,0.034188,117,1,501922,master only (1),-0.541593008,
SusanSarandon,0.0341727,556,1,672482,master only (1),-2.022805428,
LylaStormxxx,0.0340909,88,1,610525,master only (1),-0.180669571,
Ryanbabel,0.0340909,88,1,797975,master only (1),1.073588127,
imarleneking,0.0340136,147,1,778488,master only (1),-0.882804757,
tyrabanks,0.0338983,59,1,14636197,master only (1),-0.894070641,
andre,0.0338983,118,1,1338829,master only (1),0.659101433,
MAJORLAZER,0.0338164,414,1,1942704,master only (1),-1.265249332,
TheBarbieBlank,0.0337838,148,1,715965,master only (1),0.916289997,
BethanyJoyLenz,0.0337079,178,1,523923,master only (1),-1.749906972,
omarepps,0.0336134,119,1,1597041,master only (1),-1.24571368,
chandlerriggs,0.0333333,60,1,1577719,master only (1),0.549214741,
2chainz,0.0333333,90,1,4369389,master only (1),1.115294479,
StuBennett,0.0333333,90,1,1359900,master only (1),1.012768865,
KarmenKarma,0.0333333,570,1,665750,master only (1),0,
RobbieSavage8,0.0332326,662,1,1721843,master only (1),0.384553337,
2freshLES,0.0332103,271,1,950779,master only (1),-0.439889402,
cilekapisi,0.0331754,211,1,785825,master only (1),0,
iBallisticSquid,0.0330578,121,1,565220,master only (1),0.099607553,
Andy,0.0329457,516,1,2355127,master only (1),-1.488137924,
elliegoulding,0.0328467,274,1,6863109,master only (1),-0.957659028,
KrisJenner,0.0328467,274,1,10953187,master only (1),-0.837761371,
NikkiSixx,0.0327869,183,1,835503,master only (1),-0.411995264,
daraobriain,0.0327869,305,1,2550495,master only (1),-0.636467598,
IanBohen,0.0326797,153,1,915199,master only (1),1.201777461,
Ohmwrecker,0.0326087,276,1,766567,master only (1),0.2062717,
espngolic,0.0325815,399,1,750175,master only (1),0.833426789,
immancomposer,0.0325203,123,1,1293214,master only (1),0,
lifeofrickey,0.0325203,123,1,898947,master only (1),-1.689269426,
knowkenny,0.0324324,185,1,1760636,master only (1),-0.458503541,
mrjakehumphrey,0.0323213,1021,1,909264,master only (1),0.43188967,
missfazura,0.0322581,31,1,1781177,master only (1),-0.536480658,
Pink,0.0322581,62,1,32209547,matched (3),-1.076826693,
ImRo45,0.0322581,93,1,15483953,master only (1),-0.13425226,
JoannaAngel,0.0322581,310,1,512037,master only (1),-0.634764144,
peter_king,0.032197,528,1,1821795,master only (1),0.13349391,
terrycrews,0.0320988,405,1,1443751,master only (1),-0.30849229,
JoshRadnor,0.0320285,281,1,636061,master only (1),-1.364408783,
Pschmeichel1,0.032,125,1,941075,master only (1),0.278259084,
DanaBrookeWWE,0.0319635,219,1,593554,master only (1),2.027361488,
Krewella,0.0319149,188,1,705141,master only (1),-1.383210373,
ycombinator,0.0319149,282,1,1067808,master only (1),0.54231865,
Kevinwoo91,0.0318725,251,1,1232851,master only (1),0,
Miles_Teller,0.031746,63,1,548624,master only (1),-0.276647914,
SSEHBAI1,0.031746,63,1,1485867,master only (1),0.615762923,
IamDrSID,0.0314465,159,1,1133655,master only (1),0.913136888,
JessicaBlevins,0.0314465,318,1,640389,master only (1),0.698854652,
wisinyyandel,0.03125,32,1,4861701,master only (1),-0.693912827,
kaj33,0.03125,64,1,2160182,master only (1),0.16091989,
KelseaBallerini,0.03125,288,1,989870,master only (1),-0.64914839,
greysonchance,0.0308642,162,1,2661344,master only (1),0.555074978,
scott_mills,0.0308219,584,1,1339514,master only (1),-0.600637013,
MarkCavendish,0.0307692,65,1,1394886,master only (1),0.947750873,
TechN9ne,0.0307692,130,1,575882,master only (1),-1.073838228,
jes_chastain,0.0307692,195,1,814142,master only (1),-1.176790217,
itsgabrielleu,0.0307263,358,1,4354190,master only (1),-1.805813195,
RZA,0.0307167,293,1,793654,master only (1),-0.502198728,
mirandalambert,0.0306748,163,1,7102106,master only (1),0.45996561,
EstelleDarlings,0.0306346,457,1,823654,master only (1),-1.389739035,
Joe_Gatto,0.0306122,392,1,1103561,master only (1),-0.841764845,
RobinSharma,0.0305344,131,1,602059,master only (1),0.457359551,
AndreaRussett,0.0304878,164,1,7384382,master only (1),-1.860599775,
candicepatton,0.0304569,197,1,504171,master only (1),-1.490053117,
_CaRtOoNz,0.0304348,230,1,684792,master only (1),0,
sam_concepcion,0.030303,33,1,1890393,master only (1),1.160481969,
JayFromTGF,0.030303,66,1,607028,master only (1),0,
kevinbridges86,0.030303,99,1,1307726,master only (1),0.47289941,
AleshaOfficial,0.0300752,133,1,903333,master only (1),0.103296071,
davidaldridgedc,0.0300481,832,1,688448,master only (1),-1.722131283,
Deji,0.0298507,67,1,1997715,master only (1),0,
jordanbpeterson,0.0298507,67,1,1452517,master only (1),1.34290663,
HarperCollins,0.0298117,1912,1,1026913,master only (1),1.05876407,
BrianCHouston,0.0297619,168,1,602857,master only (1),1.341464812,
funkflex,0.0297619,168,1,836071,master only (1),0.752975678,
BT,0.029703,101,1,638796,master only (1),0,
IanJamesPoulter,0.029703,101,1,2300299,master only (1),1.011637408,
rikyrickworld,0.0296053,304,1,1255579,master only (1),0,
J_D_Landis,0.0295567,406,1,681330,master only (1),1.591911021,
elybuendia9001,0.0294118,68,1,1583898,master only (1),-0.148641813,
JackJ,0.0294118,68,1,5967065,master only (1),-2.035630392,
Remymeow,0.0294118,68,1,515236,master only (1),-1.899364702,
alessiacara,0.0294118,102,1,1355367,master only (1),0.114525984,
andyblack,0.0294118,102,1,951862,master only (1),0.356287042,
LarryWentz,0.0294118,1394,1,816818,master only (1),1.252188899,
donttrythis,0.0293734,1532,1,1420969,master only (1),-1.496617397,
AmandaCerny,0.0293454,443,1,1000220,master only (1),0.178908826,
Ginofantastico,0.0291971,137,1,1765104,master only (1),-1.081849573,
JamieLaing_UK,0.0291262,103,1,856957,master only (1),0.934990976,
tonibraxton,0.0291262,103,1,1727302,master only (1),-1.845666356,
RicBucher,0.0290909,275,1,804026,master only (1),-0.670728647,
Premgiamaren,0.028777,139,1,2717115,master only (1),0,
yoursanjali,0.028777,139,1,812626,master only (1),0,
BarbaraCorcoran,0.028777,417,1,735993,master only (1),0.03833672,
itsDannyJones,0.0285714,35,1,763091,master only (1),0.014528729,
JimNorton,0.0285714,140,1,516931,master only (1),1.26413852,
Kandi,0.0283912,317,1,1893827,master only (1),-1.995434022,
chrishughes_22,0.0283019,212,1,515723,master only (1),0,
yelyahwilliams,0.0281996,461,1,5131623,master only (1),0,
jamescharles,0.0281385,462,1,5614819,master only (1),-0.425394441,
bastilledan,0.0280899,178,1,1457786,master only (1),-1.371513256,
DemiRoseMawby,0.028,250,1,658029,master only (1),-0.347121126,
gamasutra,0.0279261,2435,1,507441,master only (1),0,
dril,0.027907,215,1,1532496,master only (1),-1.739493714,
heidimontag,0.027907,215,1,1401697,master only (1),2.078877171,
BSchweinsteiger,0.0277778,36,1,5048505,master only (1),0,
ChristyMack,0.0277778,36,1,723867,master only (1),0,
andy_lee,0.0277778,72,1,603750,master only (1),-0.802900607,
EvelynLozada,0.0277778,72,1,1199326,master only (1),-1.199912457,
luisnani,0.0277778,72,1,3920057,master only (1),1.029192948,
staceydash,0.0277778,72,1,571279,master only (1),1.719499883,
tweetsauce,0.0277778,108,1,1206851,master only (1),-0.875557049,
natalieevamarie,0.0276923,325,1,942533,master only (1),1.180796938,
Ken_Rosenthal,0.027618,869,1,1134046,master only (1),-0.827602552,
CassadeePope,0.0273973,73,1,556291,master only (1),-2.408555289,
humansofny,0.0273973,73,1,887007,master only (1),0.378942394,
Oatmeal,0.0273973,73,1,643246,master only (1),-0.074857242,
Omawumi,0.0272727,330,1,769243,master only (1),0,
ShaneWarne,0.0272109,147,1,3521756,master only (1),-0.050029332,
bakermayfield,0.027027,37,1,717012,master only (1),1.070384417,
KarlTowns,0.027027,37,1,505805,master only (1),0,
ravensymone,0.027027,37,1,625146,master only (1),0.406876476,
wael,0.027027,37,1,534530,master only (1),0.084371619,
