account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
OnlyWayIsEssex,0.5064935,154,1,1255334,master only (1),0.171098138,
WSJhealth,0.5062656,399,1,711141,master only (1),1.27301661,
PDChina,0.5009474,2639,1,7121736,master only (1),0.912106251,
UN_Spokesperson,0.4950495,606,1,634779,master only (1),0.033906831,
gatesfoundation,0.4908257,218,1,2017789,master only (1),-1.426148853,
DrOz,0.4892704,1631,1,4097471,master only (1),0.647885767,
WorldVision,0.4784946,372,1,1145734,master only (1),1.134595804,
NOIweala,0.4698795,83,1,1142959,master only (1),0.576411896,
10DowningStreet,0.4560878,1002,1,5749251,master only (1),-0.636984117,
edmnangagwa,0.4423077,52,1,503538,master only (1),1.564709739,
tedlieu,0.4363057,942,1,1309388,master only (1),0.266823187,
wolfblitzer,0.4248252,572,1,1472689,master only (1),1.108525188,
iingwen,0.416,125,1,597190,master only (1),0,
NivinOfficial,0.4126984,63,1,1460458,master only (1),-0.493605191,
SmthnglikeKites,0.4117647,17,1,1759537,master only (1),0,
ajplus,0.4095164,2564,1,1122103,master only (1),0.029952367,
mohan_manjima,0.4017857,224,1,1224410,master only (1),0,
TJHuntley,0.4,15,1,572707,master only (1),1.859414974,
capt_amarinder,0.3958763,485,1,762778,master only (1),0.984704357,
melindagates,0.3908046,87,1,2427121,master only (1),-1.364930944,
missgemcollins,0.390693,2987,1,1284118,master only (1),-1.280620544,
BorisJohnson,0.3892405,316,1,2652397,master only (1),1.360959797,
NicolaSturgeon,0.3890625,640,1,1132811,master only (1),0.595330538,
vivekoberoi,0.384058,138,1,2218417,master only (1),0.760034975,
jensstoltenberg,0.3823529,68,1,514507,master only (1),-0.516704591,
BillGates,0.3818182,55,1,48400139,matched (3),-0.924958054,
JulieGichuru,0.38,250,1,1201779,master only (1),-0.892807518,
deepikapadukone,0.3783784,37,1,26798149,matched (3),0.430352347,
Mark_Beech,0.3770492,61,1,1252700,master only (1),0.937537908,
FedericaMog,0.3666667,60,1,527178,master only (1),0.494743966,
Nightline,0.3638459,3037,1,1206550,master only (1),0.291963677,
IAF_MCC,0.3628571,350,1,1124848,master only (1),0,
RealCandaceO,0.3625592,422,1,2062365,master only (1),1.463782408,
Our_DA,0.3622722,933,1,612616,master only (1),1.341423727,
MayorofLondon,0.3555556,1530,1,3277908,master only (1),0.101054847,
MSF_USA,0.3520408,392,1,904349,master only (1),-0.384327074,
BinaNepram,0.3510815,601,1,553573,master only (1),-0.842506207,
AC360,0.3508403,476,1,1405855,master only (1),0.601535562,
dawallach,0.3478261,138,1,1143944,master only (1),-0.000266424,
the_hindu,0.3446553,2002,1,6142653,master only (1),0.625024229,
ianbremmer,0.3436063,2174,1,522335,master only (1),0.785760964,
drsanjaygupta,0.3401361,147,1,2414204,master only (1),0.780915358,
TahirulQadri,0.3333333,27,1,1893776,master only (1),0,
ChelseaClinton,0.3290043,462,1,2634713,master only (1),-1.454158279,
kiranshaw,0.3285486,1254,1,1523655,master only (1),0.423866165,
authoramish,0.3267716,1270,1,936487,master only (1),0.770195055,
CarolineMutoko,0.3259494,316,1,616376,master only (1),0.506624837,
KagutaMuseveni,0.3258427,178,1,1609603,master only (1),0,
aishambuhari,0.3243243,37,1,694612,master only (1),0,
prabhu_sr,0.3239437,71,1,651836,master only (1),-1.085427686,
Kailashkher,0.320442,181,1,500863,master only (1),0,
RGVzoomin,0.319209,354,1,4333925,master only (1),0.650926674,
ftchina,0.3184358,716,1,1084752,master only (1),1.118781963,
THexplains,0.3131313,99,1,634717,master only (1),0,
bryanadams,0.3125,64,1,659111,master only (1),-1.082094313,
jonsnowC4,0.3088235,272,1,1399860,master only (1),-0.247104434,
Alissonbecker,0.3055556,36,1,1008664,master only (1),0,
iamAhmadshahzad,0.3020833,96,1,2224930,master only (1),0,
srikidambi,0.2972973,37,1,1160840,master only (1),0,
MahindraRise,0.2972973,222,1,1303904,master only (1),0.137643189,
MukhiSree,0.2941177,68,1,1263562,master only (1),-0.18314628,
OTruta,0.2929293,99,1,681945,master only (1),1.727320938,
KateUpton,0.2903226,31,1,2263881,master only (1),0.572669937,
LesterHoltNBC,0.2878788,66,1,525819,master only (1),0.481632454,
