account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
TishaCampblMrtn,,,1,628788,master only (1)
TM2LeahDawn,,,1,1436224,master only (1)
tonygoldwyn,,,1,511387,master only (1)
ToroRosso,,,1,711136,master only (1)
travisbarker,,,1,1527553,master only (1)
TroyAikman,,,1,1603570,master only (1)
trsharish,,,1,777213,master only (1)
Truman_Black,,,1,977953,master only (1)
VanessaMorgan,,,1,674611,master only (1)
VernonDavis85,,,1,1068762,master only (1)
vincestaples,,,1,1127260,master only (1)
vj_diya,,,1,793193,master only (1)
yokoono,,,1,4780245,master only (1)
yungchip,,,1,502341,master only (1)
zaralarsson,,,1,1485663,master only (1)
tim_fargo,,,0.9974684,611783,master only (1)
marksandspencer,,,0.9964029,596107,master only (1)
soledadobrien,0.0949285,2307,0.9923664,1216835,master only (1)
RogerBezanis,0.0901991,2561,0.989071,501460,master only (1)
deray,0.0904152,2577,0.9883721,1041502,master only (1)
shaunking,0.0803842,1978,0.9873418,1151608,master only (1)
darrenrovell,0.0542466,1825,0.9868421,2055200,master only (1)
soompi,0.0030769,2600,0.9866667,2706183,master only (1)
MsVivicaFox,0.0115385,3120,0.9861111,578746,master only (1)
RyanAFournier,0.0931677,805,0.9852941,895091,master only (1)
Tweetwizzard,0.2203905,2305,0.9850746,737540,master only (1)
davidfrum,0.1237113,2328,0.9850746,885372,master only (1)
JustJared,0.1093172,2973,0.9849624,750760,master only (1)
Nidhi,0.3551648,2275,0.9846154,756026,master only (1)
CoachSchuman,0.0098522,203,0.984375,630344,master only (1)
renoomokri,0.0940292,2127,0.984127,793998,master only (1)
jimcramer,0.0655195,3022,0.984127,1297852,master only (1)
kimgarst,0.0013249,3019,0.984127,609658,master only (1)
MarthaKarua,0.276082,2195,0.9836066,930619,master only (1)
DavidCornDC,0.1219937,2869,0.9830508,828058,master only (1)
brianstelter,0.1206336,2462,0.9823009,712649,master only (1)
thebrittanyxoxo,0.0185185,54,0.9823009,810658,master only (1)
phivolcs_dost,0.0003824,2615,0.9809524,541360,master only (1)
jaketapper,0.1380405,2521,0.9805195,2520869,master only (1)
MaraWilson,0.0378549,1268,0.9805195,538275,master only (1)
rolandsmartin,0.060144,2361,0.9804561,553914,master only (1)
ProfJNMoyo,0.2992424,792,0.9803922,584160,master only (1)
MZHemingway,,,0.9795918,510677,master only (1)
TheRevAl,0.1386769,2358,0.9791667,599495,master only (1)
suhasinih,0.2605806,2859,0.9787234,1299951,master only (1)
therealcliffyb,0.0703971,554,0.9787234,619097,master only (1)
BillKristol,0.0634986,2441,0.9787234,659628,master only (1)
MarkDice,0.0777251,1055,0.9782609,614903,master only (1)
OriginalFunko,0.00306,1634,0.9782609,1078136,master only (1)
telugufilmnagar,0.0836985,2282,0.9777778,697405,master only (1)
goldman,0.0732357,1502,0.9777778,979855,master only (1)
DuncanBannatyne,0.0469001,3113,0.9777778,749805,master only (1)
JRsBBQ,0.0147929,2704,0.9777778,1738196,master only (1)
greta,0.1105139,2977,0.9774436,1218241,master only (1)
sri50,0.4238361,2685,0.9772727,1169330,master only (1)
afneil,0.1437562,3019,0.9772727,1096025,master only (1)
TVMohandasPai,0.1288981,2405,0.9768519,571577,master only (1)
dumbassgenius,0.3998453,1293,0.9767442,1038911,master only (1)
obyezeks,0.2582038,2316,0.9767442,1034274,master only (1)
JoeTrippi,0.148721,1681,0.9767442,816904,master only (1)
PritishNandy,0.0775623,1805,0.9767442,1953883,master only (1)
ceebee308,0.008991,1001,0.9767442,565192,master only (1)
vikramchandra,0.3792431,2563,0.9761904,2998490,master only (1)
jilevin,,,0.9759259,610665,master only (1)
JoyAnnReid,0.0887701,1870,0.9756098,1656135,master only (1)
PerezHilton,0.1188835,2902,0.9753087,5996989,master only (1)
MalcolmNance,0.0846037,1312,0.9751037,807149,master only (1)
caitlinmoran,0.0728261,920,0.975,837603,master only (1)
RWPUSA,0.1263395,1773,0.974359,713980,master only (1)
arrobapornogay,0.0177187,903,0.9736842,562398,master only (1)
DepressedDarth,,,0.9736842,763983,master only (1)
IGGYAZALEA,0.0150376,133,0.9722222,8037360,master only (1)
carolecadwalla,,,0.9722222,510479,master only (1)
Ryback22,,,0.9722222,1503945,master only (1)
Cernovich,0.0420587,1807,0.9719101,600809,master only (1)
JoeNBC,0.1585557,1911,0.9714286,2664729,master only (1)
dannysullivan,0.1129808,416,0.9714286,533530,master only (1)
Alythuh,0.0156863,255,0.9714286,560725,master only (1)
NicolleDWallace,0.1376559,2005,0.9705882,799021,master only (1)
bellanaija,0.0608944,2102,0.9705882,1653943,master only (1)
SamHeughan,0.0313726,1275,0.9705882,647519,master only (1)
SaraCarterDC,0.1974005,2462,0.969697,1181944,master only (1)
gtconway3d,0.0820969,2022,0.969697,1139496,master only (1)
mitchellvii,0.0690817,2374,0.9690722,581820,master only (1)
paddypower,0.0063632,2043,0.9689922,654324,master only (1)
larrykim,0.119774,885,0.96875,791438,master only (1)
DalrympleWill,0.1174033,2172,0.96875,1176732,master only (1)
NYCMayorsOffice,0.0778733,1862,0.96875,990921,master only (1)
RubinReport,0.0543881,1618,0.96875,740864,master only (1)
BadAstronomer,0.0473373,845,0.96875,617078,master only (1)
DavidOyedepoMin,0.0378788,792,0.96875,807163,master only (1)
JonahLupton,0.0625,16,0.968421,520034,master only (1)
TomFitton,0.2115226,2430,0.9677419,1011193,master only (1)
jonfavs,0.1338912,1912,0.9677419,1333420,master only (1)
teddyboylocsin,0.1209611,2414,0.9677419,666824,master only (1)
Swamy39,0.0835851,1986,0.9677419,9109906,master only (1)
jaboukie,0.0545073,477,0.9677419,733708,master only (1)
ava,0.0110638,2350,0.9677419,2386552,master only (1)
Glinner,0.0033296,901,0.9677419,619308,master only (1)
mnwild,0.0010515,951,0.9677419,694359,master only (1)
WOOLWORTHS_SA,,,0.9677419,584459,master only (1)
JuddApatow,0.1428016,2570,0.9672131,2399279,master only (1)
Baddiel,0.0486111,1440,0.9672131,697352,master only (1)
MariaBartiromo,0.3101504,1596,0.9666666,725656,master only (1)
liamcunningham1,0.1176471,1411,0.9666666,559094,master only (1)
ScottGShore,0.0414201,169,0.9666666,1700410,master only (1)
GabbieHanna,0.037037,270,0.9666666,2795041,master only (1)
maggieNYT,0.1213636,2200,0.9659575,1341364,master only (1)
GuyKawasaki,0.11875,1600,0.9655172,1444803,master only (1)
michaelianblack,0.0822785,948,0.9655172,1941096,master only (1)
therealstylesp,0.0334385,1585,0.9655172,568455,master only (1)
PleasureEllis,0.0097032,1752,0.9655172,754705,master only (1)
jakpost,0.2313154,2676,0.9653179,900249,master only (1)
neilhimself,0.0834961,2048,0.9642857,2810335,master only (1)
malaysiakini,0.0774447,2802,0.9632353,1350948,master only (1)
sagarikaghose,0.3333333,1230,0.962963,4164168,master only (1)
CharlesMBlow,0.1784703,1412,0.962963,561373,master only (1)
AshaRangappa_,0.0863388,1830,0.962963,563794,master only (1)
jazzpk,0.0833333,36,0.962963,620267,master only (1)
anamariecox,0.0740389,2107,0.962963,1199559,master only (1)
bisping,0.034345,1252,0.962963,609680,master only (1)
GeorgeTakei,0.0281633,2450,0.9625,2994219,master only (1)
mrjamesob,0.0963187,1983,0.9620253,684327,master only (1)
paulmasonnews,0.1976631,1027,0.9615384,629197,master only (1)
jdickerson,0.0966638,1169,0.9615384,2010193,master only (1)
DaveWeasel,0.0903955,177,0.9615384,505450,master only (1)
IlhanMN,0.0850891,1234,0.9615384,2018058,master only (1)
RubberNinja,0.0262172,534,0.9615384,619861,master only (1)
StephanieAbrams,0.0136214,2129,0.9615384,2039494,master only (1)
scarra,,,0.9615384,509271,master only (1)
Shehla_Rashid,0.1998774,1631,0.9607843,764566,master only (1)
SethAbramson,0.1074719,977,0.9607843,807263,master only (1)
DonaldJTrumpJr,0.0978223,2893,0.9607843,5093117,master only (1)
MATTHARDYBRAND,0.0147493,1017,0.96,1466110,master only (1)
OgbeniDipo,0.0333686,1888,0.959596,588405,master only (1)
KeithOlbermann,0.0763948,2330,0.9591837,982530,master only (1)
DickieV,0.0135218,1627,0.9591837,891412,master only (1)
TalibKweli,0.0037406,2406,0.9584352,1077286,master only (1)
KatyTurNBC,0.15874,1619,0.9583333,732779,master only (1)
CouRageJD,0.0534351,524,0.9583333,1266042,master only (1)
justinsuntron,0.0162842,1351,0.9583333,2096286,master only (1)
mitchgrassi,0.0113636,176,0.9583333,509491,master only (1)
LilTwist,0.0055075,1271,0.9583333,1243714,master only (1)
MartinSLewis,0.15625,1344,0.9577465,949683,master only (1)
MrChuckD,0.0457545,2273,0.9574468,635031,master only (1)
prodnose,0.0190114,1578,0.9574468,513772,master only (1)
SamanthaCartel,0.0076239,2361,0.9569892,565661,master only (1)
Peston,0.3339731,1042,0.9565217,1072401,master only (1)
svaradarajan,0.2142599,2763,0.9565217,582322,master only (1)
BetteMidler,0.1092577,1199,0.9565217,1939869,master only (1)
tribelaw,0.0692982,1140,0.9565217,864236,master only (1)
Joselyn_Dumas,0.0690299,1072,0.9565217,887269,master only (1)
marklevinshow,0.039261,1299,0.9565217,2189777,master only (1)
Drakee_YMCMB,0,1074,0.9565217,1340540,master only (1)
BraveLad,0.4708455,686,0.9545454,525513,master only (1)
MoeedNj,0.112069,1740,0.9545454,2157023,master only (1)
johnrampton,0.0697674,1161,0.9545454,1404238,master only (1)
shattawalegh,0.0415954,1755,0.9545454,1919572,master only (1)
russellcrowe,0.04,625,0.9545454,2764864,master only (1)
shwood,0.0355556,225,0.9545454,1763614,master only (1)
bjpenndotcom,0.0332613,2315,0.9545454,580422,master only (1)
KermodeMovie,0.0234742,1278,0.9545454,583278,master only (1)
emmablackery,0.0165837,603,0.9545454,718339,master only (1)
lmgriffjohnson,,,0.9545454,669455,master only (1)
TeaPainUSA,0.0369938,2568,0.954023,599356,master only (1)
zerohedge,,,0.954023,672999,master only (1)
BretBaier,0.1757387,2572,0.9538462,1399928,master only (1)
MigunaMiguna,0.1429455,1616,0.9534883,1080950,master only (1)
danpfeiffer,0.1234454,2171,0.952381,635605,master only (1)
ChilledChaos,,,0.952381,713360,master only (1)
iamjojo,,,0.952381,829398,master only (1)
PatMcAfeeShow,0.025702,2101,0.9516129,1793673,master only (1)
paulg,0.1813577,987,0.9512195,1188959,master only (1)
AndyRichter,0.0573698,1133,0.9512195,1065674,master only (1)
marwilliamson,0.0459184,784,0.9512195,2793278,master only (1)
wingoz,0.0201005,1990,0.9512195,1010368,master only (1)
toluogunlesi,0.2182442,2039,0.9504951,608073,master only (1)
ogundamisi,0.2079851,2154,0.95,553687,master only (1)
SophiaBush,0.1923861,1471,0.95,1321665,master only (1)
realFFK,0.1867008,391,0.95,955607,master only (1)
JERICHO,0.0585284,598,0.95,700827,master only (1)
spencerpratt,0.0489039,593,0.95,926893,master only (1)
ParisHilton,0.0386657,1319,0.95,17058770,master only (1)
MrCashtime,0.0285296,1367,0.95,1598912,master only (1)
_DomoWilson1,0.0277778,1044,0.95,507149,master only (1)
JimCantore,0.0024691,1215,0.95,1216841,master only (1)
mattgaetz,,,0.95,502491,master only (1)
alykhansatchu,0.2568909,907,0.9498433,571062,master only (1)
sarahkendzior,,,0.949495,542224,master only (1)
OwenJones84,0.1710825,1321,0.9493671,975839,master only (1)
ShekharGupta,0.3123711,2910,0.9491525,2304392,master only (1)
BDUTT,0.2295271,867,0.9491525,7188334,master only (1)
rickygervais,0.0428266,934,0.948718,14376348,master only (1)
marcuslemonis,0.0151856,1778,0.948718,588839,master only (1)
JasonLaCanfora,0.0326409,674,0.9478261,550792,master only (1)
PresidencyZA,0.4901961,1071,0.9473684,1545419,master only (1)
AnneKiguta,0.2857143,364,0.9473684,631124,master only (1)
ThuliMadonsela3,0.2798742,636,0.9473684,1396376,master only (1)
KTHopkins,0.2642643,333,0.9473684,1091946,master only (1)
JakeQuickenden,0.1226708,1288,0.9473684,505914,master only (1)
djblack,0.0513369,935,0.9473684,507061,master only (1)
TitusONeilWWE,0.0301837,2286,0.9473684,630017,master only (1)
ProSyndicate,0.025,600,0.9473684,2292629,master only (1)
JASMINEVILLEGAS,0.0176,1875,0.9473684,1677994,master only (1)
WilliamShatner,0.0173627,2131,0.9473684,2544042,master only (1)
lahoreqalandars,0.0116402,945,0.9473684,805196,master only (1)
