account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
superm,0.0902256,133,1,1217409,master only (1)
DJPaulyD,0.0901804,499,1,3975816,master only (1)
NateSilver538,0.0900576,1388,1,3323635,master only (1)
JayGardner,0.0897436,78,1,905092,master only (1)
LauraPrepon,0.0896226,212,1,905967,master only (1)
rajolaurel,0.089317,571,1,660359,master only (1)
juliana_evans,0.0888889,45,1,831879,master only (1)
RealDMitchell,0.0888889,45,1,2279987,master only (1)
David_Boreanaz,0.0888889,90,1,740831,master only (1)
Roycelr,0.0888889,135,1,506355,master only (1)
Veronica,0.0888889,135,1,1608464,master only (1)
ReggieBush,0.0886076,158,1,2844462,master only (1)
DremTGI,0.0884956,113,1,882850,master only (1)
ihansika,0.0883534,249,1,4767562,master only (1)
dragonjones,0.0882353,34,1,959748,master only (1)
AADaddario,0.0882353,68,1,819447,master only (1)
KeralaTourism,0.0882353,136,1,1925085,master only (1)
Ram_Guha,0.0880914,613,1,2218196,master only (1)
jimmyfallon,0.0880503,318,1,51909553,matched (3)
SaraRamirez,0.0878378,148,1,835659,master only (1)
GRRMspeaking,0.0877193,57,1,1361648,master only (1)
VancityReynolds,0.0877193,57,1,15877892,master only (1)
UncleRUSH,0.0875912,137,1,4642823,master only (1)
meganbata,0.0875,80,1,1922675,master only (1)
jonlovett,0.0873684,950,1,757521,master only (1)
RudyGiuliani,0.0873016,630,1,684437,master only (1)
AlbertBrooks,0.0869565,46,1,1703128,master only (1)
iamwill,0.0869565,46,1,12761372,master only (1)
shaymitch,0.0869565,69,1,3353722,master only (1)
wojespn,0.0867647,680,1,4064033,master only (1)
LoganPaul,0.0867052,173,1,5404311,master only (1)
clarkgregg,0.0866142,127,1,720609,master only (1)
GVteam,0.0866142,127,1,568340,master only (1)
ruthreichl,0.0866142,127,1,1276932,master only (1)
chuckwoolery,0.0863309,2224,1,676572,master only (1)
GeorgeHarrison,0.0862069,58,1,1155844,master only (1)
VigneshShivN,0.0862069,232,1,1302327,master only (1)
raftaarmusic,0.0859375,128,1,1555250,master only (1)
kencaillat,0.0857143,35,1,774036,master only (1)
threedaysgrace,0.0857143,35,1,532281,master only (1)
springsteen,0.0857143,70,1,1224193,master only (1)
parscale,0.0856611,537,1,571107,master only (1)
alexa99,0.0855263,152,1,671010,master only (1)
thejoelstein,0.0852273,528,1,783379,master only (1)
holy_schnitt,0.0851735,317,1,573580,master only (1)
davidaxelrod,0.0849618,1177,1,1241515,master only (1)
orengo_james,0.0847458,59,1,538991,master only (1)
TodungLubis,0.0847458,59,1,622791,master only (1)
ColIegeStudent,0.0846154,130,1,2094532,master only (1)
AnjanaVJ,0.0843882,237,1,1855527,master only (1)
vickyvette,0.084375,320,1,776591,master only (1)
StarWorldIndia,0.0842359,831,1,502927,master only (1)
NathanZed,0.0842105,95,1,539485,master only (1)
marthamaccallum,0.0836502,263,1,635965,master only (1)
TSM_Hamlinz,0.0833333,24,1,1044548,master only (1)
BillNye,0.0833333,36,1,5964247,master only (1)
RyanLochte,0.0833333,36,1,1031840,master only (1)
sssniperwolf,0.0833333,36,1,1043522,master only (1)
ELLEUK,0.0833333,1188,1,1173455,master only (1)
HarvardBiz,0.0832743,2822,1,5584749,master only (1)
CoinDesk,0.082963,2700,1,845233,master only (1)
uchejombo,0.0828877,374,1,870732,master only (1)
kickstarter,0.0826613,496,1,1051012,master only (1)
astro_timpeake,0.0823529,85,1,1604092,master only (1)
TheTweetOfGod,0.0823529,85,1,6178151,master only (1)
Megadeth,0.0821918,73,1,1672659,master only (1)
paparoach,0.0820189,317,1,610262,master only (1)
VickiBelo,0.0819672,61,1,625242,master only (1)
GulPanag,0.0819672,122,1,2896061,master only (1)
RobBenedict,0.0819672,183,1,525824,master only (1)
PsychToday,0.0818381,2285,1,661210,master only (1)
OfficialDGISPR,0.0816327,49,1,3737637,master only (1)
kashmalamna,0.0816327,98,1,519556,master only (1)
EugeneLeeYang,0.0814815,135,1,641908,master only (1)
RaashiKhanna,0.0814815,135,1,750541,master only (1)
gauravkapur,0.0813954,516,1,1477210,master only (1)
aishu_dil,0.0813397,209,1,1750534,master only (1)
PBS,0.0812749,1255,1,2279354,master only (1)
rustyrockets,0.0812379,517,1,11594195,master only (1)
pgammo,0.0811209,678,1,591546,master only (1)
CornelWest,0.0810811,37,1,877152,master only (1)
NayantharaU,0.0810811,37,1,2413914,master only (1)
taylorswift13,0.0810811,37,1,85451067,matched (3)
petewentz,0.0810811,74,1,6460158,master only (1)
myaccessbank,0.0810185,432,1,562916,master only (1)
BritishVogue,0.0809621,2952,1,3622799,master only (1)
Radioblogger,0.0809524,210,1,831188,master only (1)
DanRather,0.0809249,519,1,1000968,master only (1)
MarkGoulston,0.0808824,408,1,547432,master only (1)
OliviaDBuck,0.0808081,198,1,549914,master only (1)
GuardianBooks,0.0805902,881,1,2162122,master only (1)
Lilly,0.0805085,236,1,5793985,master only (1)
SissyChristidou,0.0803571,112,1,501302,master only (1)
FIFAcom,0.0801527,1572,1,13386164,master only (1)
lizakoshy,0.08,25,1,2862489,master only (1)
TayZonday,0.08,25,1,526011,master only (1)
breakfastclubam,0.0797448,1254,1,624800,master only (1)
kylienicolep,0.079646,113,1,659040,master only (1)
lifehacker,0.0796074,2751,1,4165561,master only (1)
chloebennet,0.0793651,126,1,702965,master only (1)
Riteishd,0.0792952,227,1,10081657,master only (1)
Freakonomics,0.0791139,316,1,653144,master only (1)
mariashriver,0.0790514,1012,1,2208606,master only (1)
TamarBraxtonHer,0.0790191,367,1,1667474,master only (1)
alyankovic,0.0789474,38,1,5134163,master only (1)
MikeTyson,0.0789474,38,1,5379947,master only (1)
BarackObama,0.0789474,76,1,114495218,matched (3)
LakmeFashionWk,0.0789474,418,1,865455,master only (1)
prattprattpratt,0.0787402,127,1,7747010,master only (1)
RealRonHoward,0.0786713,572,1,2570852,master only (1)
cbfowler,0.0786517,89,1,816002,master only (1)
EricHolder,0.0786517,89,1,528326,master only (1)
ChennaiIPL,0.0786241,407,1,5639556,master only (1)
NatGeo,0.078534,1528,1,24012278,matched (3)
FastCoDesign,0.0781345,1651,1,558274,master only (1)
laurenevemay,0.078125,64,1,618783,master only (1)
TravelLeisure,0.0781191,2637,1,4069672,master only (1)
lenadunham,0.0779221,154,1,5522236,master only (1)
mtvgeordieshore,0.0778443,334,1,1305735,master only (1)
futureshift,0.0778302,848,1,665862,master only (1)
RedHourBen,0.0773639,349,1,5759211,master only (1)
andrewzimmern,0.0772317,1994,1,1274817,master only (1)
sternshow,0.0772059,544,1,774710,master only (1)
arbaazSkhan,0.0769231,13,1,1540195,master only (1)
BillCosby,0.0769231,13,1,3472347,master only (1)
Brittanysnow,0.0769231,13,1,725266,master only (1)
david_ramsey,0.0769231,13,1,502606,master only (1)
VishalKOfficial,0.0769231,13,1,1132825,master only (1)
ZellnerLaw,0.0769231,13,1,734859,master only (1)
dannymasterson,0.0769231,26,1,1414014,master only (1)
ThingsWork,0.0769231,26,1,802105,master only (1)
BennyBenassi,0.0769231,39,1,725296,master only (1)
jasonnash,0.0769231,39,1,1026036,master only (1)
rodriguezruby,0.0769231,39,1,1057492,master only (1)
funforlouis,0.0769231,52,1,877314,master only (1)
idriselba,0.0769231,52,1,2754001,master only (1)
karantacker,0.0769231,52,1,1077149,master only (1)
KendraWilkinson,0.0769231,52,1,2423694,master only (1)
dickc,0.0769231,104,1,1578582,master only (1)
SmoshIan,0.0769231,104,1,1808964,master only (1)
TurkishAirlines,0.0769231,104,1,1800885,master only (1)
Mariska,0.0769231,234,1,916152,master only (1)
WORLDSTAR,0.0767544,912,1,4748679,master only (1)
